"","Movie","budget","dom_gross","year","month","day","RT_title","RT_aud_score","RT_crit_score","RT_runtime","RT_cast1","RT_cast2","RT_cast3","imdb_id","Metascore","Language","Director","Genre","imdbRating","imdbVotes","mpaa_kid","mpaa_adult","Holiday","DayOfWeek"
"1907","Crocodile Hunter: Collision Course",12500000,28436931,2002,7,12,"The Crocodile Hunter - Collision Course",43,53,90,"Steve Irwin","Terri Irwin","Magda Szubanski","tt0305396",50,"English","John Stainton","Action, Adventure, Comedy",5.4,5192,1,0,0,4
"1908","Machete",12500000,26593646,2010,9,3,"Machete",64,72,105,"Danny Trejo","Robert De Niro","Jessica Alba","tt0985694",60,"English, Spanish, Hungarian","Ethan Maniquis, Robert Rodriguez","Action, Crime, Thriller",6.8,136364,0,1,0,4
"1909","Antwone Fisher",12500000,21078145,2002,12,19,"Antwone Fisher",86,79,120,"Derek Luke","Joy Bryant","Denzel Washington","tt0168786",62,"English, Japanese","Denzel Washington","Biography, Drama, Romance",7.3,21871,1,0,0,3
"1910","The Emperor's Club",12500000,14060950,2002,11,22,"The Emperor's Club",68,50,109,"Kevin Kline","Emile Hirsch","Jesse Eisenberg","tt0283530",49,"English","Michael Hoffman","Drama",6.9,12170,1,0,0,4
"1911","True Romance",12500000,12281000,1993,9,10,"True Romance",93,92,116,"Christian Slater","Patricia Arquette","Dennis Hopper","tt0108399",57,"English, Italian","Tony Scott","Crime, Thriller",8,128730,0,1,0,4
"1912","Sorority Row",12500000,11965282,2009,9,11,"Sorority Row",32,22,101,"Briana Evigan","Leah Pipes","Rumer Willis","tt1232783",24,"English","Stewart Hendler","Horror, Thriller",5.1,19364,0,1,0,4
"1913","Glengarry Glen Ross",12500000,10725228,1992,9,30,"Glengarry Glen Ross",89,94,100,"Al Pacino","Jack Lemmon","Ed Harris","tt0104348",80,"English","James Foley","Drama",7.9,59197,0,1,0,2
"1914","The Boy in the Striped Pajamas",12500000,9046156,2008,11,7,"The Boy in the Striped Pajamas (The Boy in the Striped Pyjamas)",85,63,106,"Asa Butterfield","Jack Scanlon","Amber Beattie","tt0914798",55,"English","Mark Herman","Drama, History, War",7.8,85988,1,0,0,4
"1915","Conviction",12500000,6797696,2010,10,15,"Conviction",71,67,107,"Hilary Swank","Sam Rockwell","Minnie Driver","tt1244754",61,"English","Tony Goldwyn","Biography, Drama",7.2,27465,0,1,0,4
"1916","Lars and the Real Girl",12500000,5956480,2007,10,12,"Lars and the Real Girl",84,81,106,"Ryan Gosling","Emily Mortimer","Paul Schneider","tt0805564",70,"English, Spanish","Craig Gillespie","Comedy, Drama",7.4,93035,1,0,0,4
"1917","Solitary Man",12500000,4360548,2010,5,21,"Solitary Man",50,81,90,"Michael Douglas","Mary-Louise Parker","Jenna Fischer","tt1294213",69,"English, Spanish","Brian Koppelman, David Levien","Comedy, Drama, Romance",6.4,11020,0,1,0,4
"1918","Dancer in the Dark",12500000,4157491,2000,9,22,"Dancer in the Dark",92,68,137,"Bjork","Catherine Deneuve","David Morse","tt0168629",61,"English","Lars von Trier","Crime, Drama, Musical",8,62784,0,1,0,4
"1919","Casino Jack",12500000,2039869,2010,12,17,"Casino Jack",35,38,108,"Kevin Spacey","Barry Pepper","Jon Lovitz","tt1194417",51,"English","George Hickenlooper","Biography, Comedy, Crime",6.2,11803,0,1,0,4
"1920","Oscar and Lucinda",12500000,1612957,1997,12,31,"Oscar and Lucinda",66,66,132,"Ralph Fiennes","Cate Blanchett","Ciaran Hinds","tt0119843",66,"English, French","Gillian Armstrong","Drama, Romance",6.7,4933,0,1,1,2
"1921","American Pie",12000000,101800948,1999,7,9,"American Pie",60,61,96,"Jason Biggs","Shannon Elizabeth","Alyson Hannigan","tt0163651",58,"English","Paul Weitz, Chris Weitz","Comedy, Romance",7,250540,0,1,0,4
"1922","Think Like a Man",12000000,91547205,2012,4,20,"Think Like a Man",80,53,123,"Michael Ealy","Jerry Ferrara","Meagan Good","tt1621045",51,"English","Tim Story","Comedy, Romance",6.5,22433,1,0,0,4
"1923","Star Trek II: The Wrath of Khan",12000000,79912963,1982,6,4,"Star Trek II - The Wrath of Khan",90,90,113,"William Shatner","Leonard Nimoy","DeForest Kelley","tt0084726",71,"English","Nicholas Meyer","Action, Adventure, Drama",7.8,74450,1,0,0,4
"1924","Barbershop",12000000,75781642,2002,9,13,"Barbershop",62,82,102,"Ice Cube","Anthony Anderson","Cedric the Entertainer","tt0303714",66,"English","Tim Story","Comedy, Drama",6.3,17293,1,0,0,4
"1925","Ace Ventura: Pet Detective",12000000,72217396,1994,2,4,"Ace Ventura: Pet Detective",57,45,86,"Jim Carrey","Courteney Cox","Sean Young","tt0109040",37,"English","Tom Shadyac","Comedy",6.9,156273,1,0,0,4
"1926","Act of Valor",12000000,70012847,2012,2,24,"Act of Valor",73,25,101,"Roselyn Sanchez","Alex Veadov","Nestor Serrano","tt1591479",40,"English, Russian","Mike McCoy, Scott Waugh","Action, Thriller, War",6.5,46762,0,1,0,4
"1927","Witness",12000000,65532576,1985,2,8,"Witness",80,91,112,"Harrison Ford","Kelly McGillis","Josef Sommer","tt0090329",76,"English, German","Peter Weir","Crime, Drama, Romance",7.5,52898,0,1,0,4
"1928","Step Up",12000000,65328121,2006,8,11,"Step Up",83,19,103,"Channing Tatum","Jenna Dewan Tatum","Mario","tt0462590",48,"English","Anne Fletcher","Crime, Drama, Music",6.5,62018,1,0,0,4
"1929","Chronicle",12000000,64575175,2012,2,3,"Chronicle",71,85,83,"Dane DeHaan","Alex Russell","Michael B. Jordan","tt1706593",69,"English","Josh Trank","Drama, Sci-Fi, Thriller",7.1,153390,1,0,0,4
"1930","Beavis and Butt-head Do America",12000000,63118386,1996,12,20,"Beavis and Butt-Head Do America",70,72,80,"Mike Judge","Cloris Leachman","Robert Stack","tt0115641",64,"English","Mike Judge, Mike de Seve, Brian Mulroney, Yvette Kaplan","Animation, Adventure, Comedy",6.7,36148,1,0,0,4
"1931","Project X",12000000,54731865,2012,3,2,"Project X",61,28,88,"Thomas Mann","Oliver Cooper","Jonathan Brown","tt1636826",48,"English","Nima Nourizadeh","Comedy, Crime",6.7,117336,0,1,0,4
"1932","Jackie Brown",12000000,39673162,1997,12,25,"Jackie Brown",85,86,154,"Pam Grier","Samuel L. Jackson","Robert Forster","tt0119396",64,"English","Quentin Tarantino","Crime, Drama, Thriller",7.5,183038,0,1,1,3
"1933","Harold & Kumar Escape from Guantanamo Bay",12000000,38108728,2008,4,25,"Harold & Kumar Escape from Guantanamo Bay",60,53,101,"John Cho","Kal Penn","Rob Corddry","tt0481536",57,"English","Jon Hurwitz, Hayden Schlossberg","Adventure, Comedy",6.7,94567,0,1,0,4
"1934","Crossroads",12000000,37188667,2002,2,15,"Crossroads",39,14,94,"Britney Spears","Zoe Saldana","Anson Mount","tt0275022",27,"English","Tamra Davis","Adventure, Comedy, Drama",3.1,30012,1,0,0,4
"1935","Quarantine",12000000,31691811,2008,10,10,"Quarantine",45,58,89,"Jennifer Carpenter","Steve Harris","Jay Hernandez","tt1082868",53,"English","John Erick Dowdle","Horror, Thriller",6.1,45986,0,1,0,4
"1936","The Eye",12000000,31418697,2008,2,1,"The Eye",44,22,97,"Jessica Alba","Alessandro Nivola","Parker Posey","tt0406759",36,"English, Spanish","David Moreau, Xavier Palud","Drama, Horror, Thriller",5.3,36231,1,0,0,4
"1937","Johnson Family Vacation",12000000,31203964,2004,4,7,"Johnson Family Vacation",44,6,97,"Cedric the Entertainer","Vanessa L. Williams","Solange Knowles","tt0359517",29,"English","Christopher Erskin","Comedy",4.1,4873,1,0,0,2
"1938","How High",12000000,31155435,2001,12,21,"How High",79,27,94,"Method Man","Redman","Obba Babatunde","tt0278488",29,"English","Jesse Dylan","Comedy",6.2,32996,0,1,0,4
"1939","Crank",12000000,27838408,2006,9,1,"Crank",71,61,87,"Jason Statham","Amy Smart","Jose Pablo Cantillo","tt0479884",57,"English, Spanish, Korean","Mark Neveldine, Brian Taylor","Action, Crime, Thriller",7,153354,0,1,0,4
"1940","Frida",12000000,25885000,2002,10,25,"Frida",86,76,122,"Salma Hayek","Alfred Molina","Geoffrey Rush","tt0120679",61,"English, French, Russian","Julie Taymor","Biography, Drama, Romance",7.4,48799,0,1,0,4
"1941","Faster",12000000,23240020,2010,11,24,"Faster",49,43,98,"Dwayne ""The Rock"" Johnson","Billy Bob Thornton","Oliver Jackson-Cohen","tt1433108",44,"English","George Tillman Jr.","Action, Crime, Drama",6.5,65091,0,1,1,2
"1942","Rounders",12000000,22921898,1998,9,11,"Rounders",88,65,120,"Matt Damon","Edward Norton","John Turturro","tt0128442",54,"English, Hebrew, Russian","John Dahl","Crime, Drama",7.4,99399,0,1,0,4
"1943","Aquamarine",12000000,18597342,2006,3,3,"Aquamarine",62,51,103,"Emma Roberts","Joanna 'JoJo' Levesque","Sara Paxton","tt0429591",51,"English","Elizabeth Allen Rosenbaum","Comedy, Family, Fantasy",5.2,21838,1,0,0,4
"1944","My Baby's Daddy",12000000,17321573,2004,1,9,"My Baby's Daddy",48,4,86,"Eddie Griffin","Anthony Anderson","Michael Imperioli","tt0332712",23,"English","Cheryl Dunye","Comedy",4.4,2792,1,0,0,4
"1945","Max Keeble's Big Move",12000000,17292381,2001,10,5,"Max Keeble's Big Move",38,29,86,"Alex D. Linz","Larry Miller","Jamie Kennedy","tt0273799",40,"English","Tim Hill","Comedy, Crime, Family",5.3,4674,1,0,0,4
"1946","Young Adult",12000000,16311571,2011,12,9,"Young Adult",49,80,93,"Charlize Theron","Patton Oswalt","Patrick Wilson","tt1625346",71,"English","Jason Reitman","Comedy, Drama",6.3,53484,0,1,0,4
"1947","About Time",12000000,15323921,2013,11,1,"About Time",82,69,123,"Tom Hughes","Domhnall Gleeson","Rachel McAdams","tt2194499",55,"English","Richard Curtis","Drama, Fantasy, Romance",7.9,70611,0,1,0,4
"1948","Nebraska",12000000,14240068,2013,11,15,"Nebraska",86,92,115,"Bruce Dern","Will Forte","Bob Odenkirk","tt1821549",86,"English, Spanish","Alexander Payne","Adventure, Drama",8.1,10054,0,1,0,4
"1949","Living Out Loud",12000000,12905901,1998,10,30,"Living Out Loud",64,59,100,"Holly Hunter","Danny DeVito","Queen Latifah","tt0120722",64,"English","Richard LaGravenese","Comedy, Drama, Romance",6.6,3789,0,1,0,4
"1950","Rachel Getting Married",12000000,12796861,2008,10,3,"Rachel Getting Married",62,85,113,"Anne Hathaway","Rosemarie DeWitt","Bill Irwin","tt1084950",82,"English","Jonathan Demme","Drama, Romance",6.7,35625,0,1,0,4
"1951","Girl with a Pearl Earring",12000000,11634362,2003,12,12,"Girl With a Pearl Earring",68,72,95,"Scarlett Johansson","Colin Firth","Tom Wilkinson","tt0335119",72,"English","Peter Webber","Biography, Drama, Romance",7,48167,1,0,0,4
"1952","Das Boot",12000000,11487676,1982,2,10,"Das Boot (The Boat)",96,98,145,"Jurgen Prochnow","Herbert Gronemeyer","Klaus Wennemann","tt0082096",86,"German, English, French","Wolfgang Petersen","Action, Adventure, Drama",8.5,125404,0,1,0,2
"1953","House of Flying Daggers",12000000,11050094,2004,12,3,"House of Flying Daggers",82,88,119,"Takeshi Kaneshiro","Ziyi Zhang","Andy Lau","tt0385004",89,"Mandarin","Yimou Zhang","Action, Adventure, Drama",7.6,75550,1,0,0,4
"1954","Sorority Boys",12000000,10198766,2002,3,22,"Sorority Boys",54,13,93,"Heather Matarazzo","Harland Williams","Yvonne Scio","tt0279781",25,"English","Wallace Wolodarsky","Comedy",5.4,10563,0,1,0,4
"1955","Cadillac Records",12000000,8138000,2008,12,5,"Cadillac Records",66,67,108,"Adrien Brody","Jeffrey Wright","Gabrielle Union","tt1042877",65,"English","Darnell Martin","Biography, Drama, History",6.9,11813,0,1,0,4
"1956","Screwed",12000000,6982680,2000,5,12,"Screwed",48,13,82,"Norm Macdonald","Dave Chappelle","Elaine Stritch","tt0156323",7,"English","Scott Alexander, Larry Karaszewski","Comedy, Crime",5.6,6271,1,0,0,4
"1957","For Your Consideration",12000000,5549923,2006,11,17,"For Your Consideration",43,51,86,"Bob Balaban","Jennifer Coolidge","Christopher Guest","tt0470765",68,"English","Christopher Guest","Comedy",6.3,10878,1,0,0,4
"1958","Celebrity",12000000,5078660,1998,11,20,"Celebrity",44,41,113,"Kenneth Branagh","Judy Davis","Famke Janssen","tt0120533",41,"English","Woody Allen","Comedy, Drama",6.3,16925,0,1,0,4
"1959","From Justin to Kelly",12000000,4922166,2003,6,20,"From Justin To Kelly",38,7,81,"Kelly Clarkson","Justin Guarini","Katherine Bailess","tt0339034",14,"English","Robert Iscove","Comedy, Musical, Romance",2.1,22514,1,0,1,4
"1960","Girl 6",12000000,4880941,1996,3,22,"Girl 6",39,33,107,"Theresa Randle","Isaiah Washington","Spike Lee","tt0116414",44,"English","Spike Lee","Comedy, Drama",5,4467,0,1,0,4
"1961","In the Cut",12000000,4717455,2003,10,22,"In the Cut",35,34,119,"Meg Ryan","Mark Ruffalo","Kevin Bacon","tt0199626",46,"English","Jane Campion","Mystery, Thriller",5.3,16531,0,1,0,2
"1962","Charlie Bartlett",12000000,3950294,2008,2,22,"Charlie Bartlett",72,56,97,"Anton Yelchin","Robert Downey Jr.","Hope Davis","tt0423977",54,"English","Jon Poll","Comedy, Drama, Romance",7.1,47205,0,1,0,4
"1963","Two Lovers",12000000,3149034,2009,2,13,"Two Lovers",58,82,100,"Joaquin Phoenix","Gwyneth Paltrow","Vinessa Shaw","tt1103275",74,"English","James Gray","Drama, Romance",7.1,23925,0,1,0,4
