"","budget","RT_aud_score","RT_crit_score","RT_runtime","Metascore","imdbRating","imdbVotes","dom_gross"
"322",65000000,61,35,107,45,6.3,49144,63803100
"323",65000000,45,57,83,58,6.4,155235,59650222
"324",65000000,73,77,165,68,7.3,177926,55691208
"334",64000000,55,12,90,26,4.1,31615,58636047
"337",62000000,78,90,113,67,6.8,37280,60022813
"356",60000000,24,17,90,34,5.1,135154,64506874
"357",60000000,57,73,100,62,6.2,47932,63939454
"358",60000000,55,36,127,45,6.3,32234,61322858
"359",60000000,40,26,98,43,4.4,12112,61123569
"360",60000000,65,81,122,72,6.8,190372,59623958
"361",60000000,55,60,112,68,6.5,19962,56709981
"362",60000000,72,87,93,72,7,52514,56003051
"363",60000000,53,15,125,36,6.3,73034,54956941
"364",60000000,46,27,119,43,6.2,76256,53789313
"365",60000000,45,56,94,53,6.1,25819,50877145
"366",60000000,30,22,98,30,5.2,47191,50586000
"394",58000000,46,36,102,36,5.6,66674,53715611
"395",58000000,58,40,120,46,5.9,23045,49876377
"396",58000000,75,56,95,47,6.8,65636,48318130
"401",57500000,49,23,97,37,5.9,104331,60128566
"402",57000000,80,66,130,60,7.5,198065,61007424
"405",56000000,61,25,86,44,6.2,40066,46213824
"406",55000000,46,23,99,33,5.5,35506,71724497
"407",55000000,74,48,125,42,7,119672,71565669
"408",55000000,80,85,111,69,8.2,498753,70098138
"409",55000000,60,80,97,71,6.4,49312,66458769
"410",55000000,89,84,137,83,8,380577,66207920
"411",55000000,65,79,110,77,6.6,74269,56932305
"412",55000000,47,18,90,38,5.7,6294,55533067
"413",55000000,60,64,104,57,6.6,73457,52075270
"414",55000000,85,33,143,40,7.4,77847,51225796
"415",55000000,69,64,134,45,6.3,25336,50047179
"425",54000000,75,27,123,36,7.6,179800,69951824
"426",54000000,78,68,170,60,7.6,188028,66520529
"428",53012938,41,68,98,50,5.9,50299,70327868
"430",53000000,75,25,109,34,7.4,164868,73357727
"431",53000000,90,76,126,66,7.7,184641,57386369
"432",53000000,38,23,89,29,5.5,18306,45207112
"436",52000000,93,80,182,73,8.2,233106,42438300
"442",50200000,67,72,99,60,7.1,158736,62495645
"444",50000000,34,20,110,44,5.3,55230,75941727
"445",50000000,72,66,126,58,7.2,82304,75624550
"446",50000000,86,94,133,87,7.6,215775,75605492
"447",50000000,38,15,81,27,4.9,43621,75367693
"448",50000000,37,5,94,22,5.1,20017,73701902
"449",50000000,90,73,145,62,8.2,549561,70511035
"450",50000000,36,31,91,43,5.8,49625,66711892
"451",50000000,39,42,100,47,4.7,27712,66010682
"452",50000000,54,66,114,58,6.2,60855,60470220
"453",50000000,70,69,82,62,6.6,10792,58640119
"454",50000000,63,44,110,49,6.8,135393,56758835
"455",50000000,54,15,87,21,6.1,110469,55703475
"456",50000000,50,24,110,38,6.3,34337,54997476
"457",50000000,69,49,124,63,6.7,50000,52752475
"458",50000000,68,72,128,76,7,91413,50824620
"459",50000000,61,21,94,35,6.1,121665,50740078
"460",50000000,52,45,125,52,6.7,32221,50068310
"461",50000000,85,71,128,61,7.8,190518,48265581
"462",50000000,54,55,124,62,5.8,50263,48169156
"463",50000000,63,29,125,30,6.6,132090,46982632
"464",50000000,67,40,118,30,6.5,38977,44737059
"465",50000000,36,10,109,16,5.4,45920,42586861
"485",49000000,52,14,87,25,5.9,66083,43905746
"487",48000000,78,67,109,72,6.8,61629,69304264
"488",48000000,64,28,118,45,6.6,91492,66488090
"489",48000000,77,94,115,82,7.2,115379,60652036
"490",48000000,42,18,101,36,5,21835,60022256
"491",48000000,64,44,112,52,6.4,80101,56607223
"492",48000000,86,88,122,76,7.8,189326,53606916
"493",48000000,75,41,121,49,7.3,113193,50315140
"494",48000000,63,50,118,44,6.3,51257,47095453
"499",46000000,76,92,118,78,7.2,167776,67263182
"500",46000000,87,82,153,74,8.1,158415,61002302
"501",46000000,64,85,115,77,6.6,31246,59003384
"502",45000000,78,89,102,70,7.3,100239,71423726
"503",45000000,53,15,82,29,5.1,92350,71277420
"504",45000000,78,55,120,45,7.1,143491,70141876
"505",45000000,85,65,136,57,7.2,68347,67264877
"506",45000000,51,13,110,22,5.4,70209,67061228
"507",45000000,54,77,98,69,6.5,48839,66790248
"508",45000000,24,38,89,37,4.5,57622,65598907
"509",45000000,72,16,100,36,6.7,120930,62318875
"510",45000000,72,22,100,27,5.5,73273,60786269
"511",45000000,73,63,135,55,7.7,241874,59472278
"512",45000000,50,17,114,31,5.7,35957,58617334
"513",45000000,65,69,133,60,6.3,30540,53854588
"514",45000000,52,6,88,38,5.3,16946,53359917
"515",45000000,44,41,94,45,5.5,24677,52842724
"516",45000000,58,22,94,41,6.3,120211,50648679
"517",45000000,45,23,94,39,4.3,7707,48114556
"528",44000000,85,74,147,49,7.5,126894,53300852
"530",43000000,79,73,136,62,7.3,64296,51768623
"541",41000000,80,58,140,54,6.8,107931,56083966
"543",40000000,63,73,109,65,6.4,121152,61153526
"544",40000000,63,37,106,49,6.4,69626,58855732
"545",40000000,82,83,118,63,7.3,128235,58009200
"546",40000000,57,46,95,47,6,28421,57887882
"547",40000000,56,27,89,35,5.9,13327,57012977
"548",40000000,37,19,99,34,5.2,43533,54979992
"549",40000000,88,73,131,61,7.7,85019,54228104
"550",40000000,92,76,130,66,8.5,546512,53089891
"551",40000000,73,35,98,52,6.8,90661,52330111
"552",40000000,51,63,107,51,6.4,136170,52000688
"553",40000000,79,66,138,68,7.8,191522,50866635
"554",40000000,68,62,96,59,6.6,63036,50572589
"555",40000000,66,47,95,46,6.6,112388,47958031
"556",40000000,58,37,103,47,6.5,70258,47907715
"588",39000000,24,26,125,42,4.9,36939,59950623
"591",38000000,61,28,112,39,6.5,62772,53374681
"592",38000000,88,83,146,74,7.5,60291,50699241
"606",36000000,56,63,100,63,6.5,109434,50269859
"609",35000000,61,34,86,41,6.4,44597,54149098
"610",35000000,80,36,109,38,6.9,26932,52333738
"653",33000000,46,32,95,39,5.5,23697,51758599
