"","Movie","budget","dom_gross","year","month","day","RT_title","RT_aud_score","RT_crit_score","RT_runtime","RT_cast1","RT_cast2","RT_cast3","imdb_id","Metascore","Language","Director","Genre","imdbRating","imdbVotes","mpaa_kid","mpaa_adult","Holiday","DayOfWeek"
"12","Superman Returns",232000000,200120000,2006,6,28,"Superman Returns",62,76,154,"Brandon Routh","Kate Bosworth","James Marsden","tt0348150",72,"English, German, French","Bryan Singer","Action, Adventure, Fantasy",6.2,204129,1,0,0,2
"13","Quantum of Solace",230000000,169368427,2008,11,14,"Quantum of Solace",59,64,105,"Daniel Craig","Olga Kurylenko","Mathieu Amalric","tt0830515",58,"English, Spanish, Italian, French, Swiss German, German","Marc Forster","Action, Adventure, Crime",6.7,237255,1,0,0,4
"14","Marvel's The Avengers",225000000,623279547,2012,5,4,"Marvel's The Avengers",91,92,142,"Robert Downey Jr.","Chris Evans","Mark Ruffalo","tt0848228",69,"English, Russian","Joss Whedon","Action, Fantasy",8.2,618414,1,0,0,4
"15","Pirates of the Caribbean: Dead Man's Chest",225000000,423315812,2006,7,7,"Pirates of the Caribbean: Dead Man's Chest",72,54,151,"Johnny Depp","Orlando Bloom","Keira Knightley","tt0383574",53,"English, Turkish, Greek, Mandarin","Gore Verbinski","Action, Adventure, Fantasy",7.3,376068,1,0,0,4
"16","Man of Steel",225000000,291045518,2013,6,14,"Man of Steel",76,56,143,"Henry Cavill","Amy Adams","Michael Shannon","tt0770828",55,"English","Zack Snyder","Action, Adventure, Fantasy",7.4,349748,1,0,0,4
"17","The Chronicles of Narnia: Prince Caspian",225000000,141621490,2008,5,16,"The Chronicles of Narnia: Prince Caspian",73,67,144,"Georgie Henley","Skandar Keynes","William Moseley","tt0499448",62,"English","Andrew Adamson","Action, Adventure, Family",6.6,108776,1,0,0,4
"18","47 Ronin",225000000,38362475,2013,12,25,"47 Ronin",55,12,127,"Keanu Reeves","Hiroyuki Sanada","Kou Shibasaki","tt1335975",29,"English, Japanese","Carl Rinsch","Action, Adventure, Fantasy",6.6,21500,1,0,1,2
"19","The Amazing Spider-Man",220000000,262030663,2012,7,3,"The Amazing Spider-Man",77,73,136,"Andrew Garfield","Emma Stone","Rhys Ifans","tt0948470",66,"English","Marc Webb","Action, Adventure, Fantasy",7.2,289117,1,0,1,1
"20","Men in Black 3",215000000,179020854,2012,5,25,"Men in Black III",71,70,105,"Will Smith","Tommy Lee Jones","Josh Brolin","tt1409024",58,"English","Barry Sonnenfeld","Action, Comedy, Sci-Fi",6.9,186234,1,0,0,4
"21","Transformers: Revenge of the Fallen",210000000,402111870,2009,6,24,"Transformers: Revenge of the Fallen",58,20,149,"Shia LaBeouf","Megan Fox","Josh Duhamel","tt1055369",35,"English, Spanish","Michael Bay","Action, Adventure, Sci-Fi",6,235944,1,0,0,2
"22","X-Men: The Last Stand",210000000,234362462,2006,5,26,"X-Men: The Last Stand",63,57,87,"Hugh Jackman","Halle Berry","Ian McKellen","tt0376994",58,"English","Brett Ratner","Action, Adventure, Sci-Fi",6.8,258720,1,0,0,4
"23","Robin Hood",210000000,105487148,2010,5,14,"Robin Hood",58,43,148,"Russell Crowe","Cate Blanchett","Max von Sydow","tt0955308",53,"English, French","Ridley Scott","Action, Adventure, Drama",6.7,164698,1,0,0,4
"24","Battleship",209000000,65235400,2012,5,18,"Battleship",55,34,131,"Taylor Kitsch","Alexander Skarsgard","Rihanna","tt1440129",41,"English","Peter Berg","Action, Adventure, Sci-Fi",5.9,154011,1,0,0,4
"25","King Kong",207000000,218080025,2005,12,14,"King Kong",49,84,187,"Naomi Watts","Jack Black","Adrien Brody","tt0360717",81,"English","Peter Jackson","Action, Adventure, Drama",7.3,251012,1,0,0,2
"26","The Golden Compass",205000000,70107728,2007,12,1,"The Golden Compass",51,42,113,"Nicole Kidman","Dakota Blue Richards","Daniel Craig","tt0385752",51,"English, Icelandic, Russian, French","Chris Weitz","Adventure, Family, Fantasy",6.1,121478,1,0,0,5
"27","Toy Story 3",200000000,415004880,2010,6,18,"Toy Story 3",89,99,103,"Tom Hanks","Tim Allen","Joan Cusack","tt0435761",92,"English, Spanish","Lee Unkrich","Animation, Adventure, Comedy",8.5,347506,1,0,0,4
"28","Iron Man 3",200000000,408992272,2013,5,3,"Iron Man 3",79,78,109,"Robert Downey Jr.","Gwyneth Paltrow","Don Cheadle","tt1300854",62,"English","Shane Black","Action, Adventure, Fantasy",7.4,341614,1,0,0,4
"29","Spider-Man 2",200000000,373524485,2004,6,30,"Spider-Man 2",81,94,127,"Tobey Maguire","Kirsten Dunst","James Franco","tt0316654",83,"English, Russian, Chinese","Sam Raimi","Action, Adventure, Fantasy",7.4,269352,1,0,0,2
"30","Alice in Wonderland",200000000,334191110,2010,3,5,"Alice in Wonderland",55,51,109,"Mia Wasikowska","Johnny Depp","Anne Hathaway","tt1014759",53,"English","Tim Burton","Adventure, Family, Fantasy",6.5,224364,1,0,0,4
"31","Skyfall",200000000,304360277,2012,11,8,"Skyfall",86,92,145,"Daniel Craig","Judi Dench","Javier Bardem","tt1074638",81,"English","Sam Mendes","Action, Adventure, Thriller",7.8,370288,1,0,0,3
"32","Oz the Great and Powerful",200000000,234770996,2013,3,8,"Oz the Great and Powerful",57,59,127,"James Franco","Mila Kunis","Rachel Weisz","tt1623205",44,"English","Sam Raimi","Adventure, Family, Fantasy",6.5,132834,1,0,0,4
"33","Cars 2",200000000,191450875,2011,6,24,"Cars 2",51,39,112,"Owen Wilson","Larry The Cable Guy","John Turturro","tt1216475",57,"English, Japanese, Italian, French","John Lasseter, Brad Lewis","Animation, Adventure, Comedy",6.4,67180,1,0,1,4
"34","Tron: Legacy",200000000,172062763,2010,12,17,"Tron Legacy",64,51,125,"Jeff Bridges","Garrett Hedlund","Olivia Wilde","tt1104001",49,"English","Joseph Kosinski","Action, Adventure, Sci-Fi",6.9,206335,1,0,0,4
"35","2012",200000000,166112167,2009,11,13,"2012",47,39,158,"John Cusack","Amanda Peet","Chiwetel Ejiofor","tt1190080",49,"English, French, Tibetan, Mandarin, Russian, Hindi, Portuguese, Latin, Italian","Roland Emmerich","Action, Adventure, Sci-Fi",5.8,208207,1,0,1,4
"36","Terminator Salvation",200000000,125322469,2009,5,21,"Terminator Salvation",55,33,115,"Christian Bale","Sam Worthington","Anton Yelchin","tt0438488",52,"English, Italian","McG","Action, Drama, Sci-Fi",6.7,217299,1,0,0,3
"37","Green Lantern",200000000,116601172,2011,6,17,"Green Lantern",46,26,113,"Ryan Reynolds","Blake Lively","Peter Sarsgaard","tt1133985",39,"English","Martin Campbell","Action, Adventure, Sci-Fi",5.8,166848,1,0,0,4
"38","Prince of Persia: Sands of Time",200000000,90759676,2010,5,28,"Prince of Persia: The Sands of Time",58,36,116,"Jake Gyllenhaal","Gemma Arterton","Ben Kingsley","tt0473075",50,"English","Mike Newell","Action, Adventure, Fantasy",6.6,164789,1,0,0,4
"39","Transformers: Dark of the Moon",195000000,352390543,2011,6,29,"Transformers: Dark of the Moon",56,36,154,"Shia LaBeouf","Rosie Huntington-Whiteley","Josh Duhamel","tt1399103",42,"English","Michael Bay","Action, Adventure, Sci-Fi",6.4,235300,1,0,0,2
"40","Jack the Giant Slayer",195000000,65187603,2013,3,1,"Jack the Giant Slayer",56,52,114,"Nicholas Hoult","Eleanor Tomlinson","Ewan McGregor","tt1351685",51,"English","Bryan Singer","Adventure, Fantasy",6.3,72344,1,0,0,4
"41","Star Trek Into Darkness",190000000,228778661,2013,5,15,"Star Trek Into Darkness",90,87,131,"Chris Pine","Zachary Quinto","Zoe Saldana","tt1408101",72,"English, Klingon","J.J. Abrams","Action, Adventure, Sci-Fi",7.9,264551,1,0,0,2
"42","World War Z",190000000,202359711,2013,6,21,"World War Z",73,67,115,"Brad Pitt","Mireille Enos","Daniella Kertesz","tt0816711",63,"English, Spanish, Hebrew, Arabic","Marc Forster","Action, Adventure, Horror",7.1,262786,1,0,0,4
"43","The Great Gatsby",190000000,144840419,2013,5,10,"The Great Gatsby",68,49,142,"Leonardo DiCaprio","Tobey Maguire","Carey Mulligan","tt1343092",55,"English","Baz Luhrmann","Drama, Romance",7.4,213204,1,0,0,4
"44","Disney's A Christmas Carol",190000000,137855863,2009,11,6,"Disney's A Christmas Carol",58,54,96,"Jim Carrey","Gary Oldman","Colin Firth","tt1067106",55,"English","Robert Zemeckis","Animation, Comedy, Drama",6.8,51090,1,0,0,4
"45","Pacific Rim",190000000,101802906,2013,7,12,"Pacific Rim",78,71,131,"Charlie Hunnam","Diego Klattenhoff","Idris Elba","tt1663662",64,"English, Japanese, Cantonese, Mandarin","Guillermo del Toro","Action, Adventure, Sci-Fi",7.2,216288,1,0,0,4
"46","Iron Man",186000000,318604126,2008,5,2,"Iron Man",91,93,126,"Robert Downey Jr.","Terrence Howard","Jeff Bridges","tt0371746",79,"English, Persian, Urdu, Arabic","Jon Favreau","Action, Adventure, Sci-Fi",7.9,461903,1,0,0,4
"47","The Dark Knight",185000000,533345358,2008,7,18,"The Dark Knight",94,94,152,"Christian Bale","Heath Ledger","Aaron Eckhart","tt0468569",82,"English, Mandarin","Christopher Nolan","Action, Crime, Drama",9,1133701,1,0,0,4
"48","Indiana Jones and the Kingdom of the Crystal Skull",185000000,317023851,2008,5,22,"Indiana Jones and the Kingdom of the Crystal Skull",54,78,122,"Harrison Ford","Cate Blanchett","Karen Allen","tt0367882",65,"English, German, Russian","Steven Spielberg","Action, Adventure",6.3,252457,1,0,1,3
"49","Brave",185000000,237282182,2012,6,22,"Brave",76,78,93,"Kelly Macdonald","Emma Thompson","Billy Connolly","tt1217209",69,"English","Mark Andrews, Brenda Chapman, Steve Purcell","Animation, Action, Adventure",7.2,161238,1,0,0,4
"50","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180000000,291710957,2005,12,9,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",61,76,139,"Georgie Henley","Skandar Keynes","William Moseley","tt0363771",75,"English, German","Andrew Adamson","Adventure, Family, Fantasy",6.9,213767,1,0,0,4
"51","WALL-E",180000000,223808164,2008,6,27,"WALL-E",89,96,97,"Ben Burtt","Elissa Knight","Jeff Garlin","tt0910970",94,"English","Andrew Stanton","Animation, Adventure, Family",8.5,468448,1,0,0,4
"52","Rush Hour 3",180000000,140125968,2007,8,10,"Rush Hour 3",63,18,90,"Jackie Chan","Chris Tucker","Hiroyuki Sanada","tt0293564",44,"English, French, Japanese, Mandarin, Latin","Brett Ratner","Action, Comedy, Crime",6.1,91166,1,0,0,4
"53","Hugo",180000000,73864507,2011,11,23,"Hugo",78,94,126,"Ben Kingsley","Sacha Baron Cohen","Asa Butterfield","tt0970179",83,"English","Martin Scorsese","Adventure, Drama, Family",7.6,186970,1,0,1,2
