"","movie","actor","director","budget","imdbRating","Sentiment","holidays","score","dom_gross"
"47","The Dark Knight",100,100,185000000,9,80,5,82,533345358
"48","Indiana Jones and the Kingdom of the Crystal Skull",100,100,185000000,6.3,110,8,65,317023851
"49","Brave",96,78,185000000,7.2,80,5,69,237282182
"50","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",80,92,180000000,6.9,80,5,75,291710957
"51","WALL-E",96,100,180000000,8.5,60,5,94,223808164
"52","Rush Hour 3",96,100,180000000,6.1,10,5,44,140125968
"53","Hugo",100,100,180000000,7.6,220,8,83,73864507
"54","Up",100,100,175000000,8.3,90,5,88,293004164
"55","Monsters vs. Aliens",100,77,175000000,6.6,-10,5,56,198351526
"56","G.I. Joe: The Rise of Cobra",98,89,175000000,5.8,100,5,32,150201498
"57","Wild Wild West",94,93,175000000,4.7,260,5,38,113805681
"58","The Mummy: Tomb of the Dragon Emperor",95,87,175000000,5.2,380,5,31,102491776
"59","Evan Almighty",91,81,175000000,5.4,30,5,37,100289690
"60","Waterworld",100,73,175000000,6,150,5,56,88246220
"61","Iron Man 2",100,94,170000000,7.1,210,5,57,312433331
"62","Thor: The Dark World",95,73,170000000,7.4,240,5,54,204674790
"63","The Polar Express",100,97,170000000,6.6,10,8,61,194949659
"64","Snow White and the Huntsman",100,48,170000000,6.2,120,5,57,155136755
"65","Terminator 3: Rise of the Machines",100,80,170000000,6.4,190,5,66,150358296
"66","Shrek Forever After",97,86,165000000,6.4,110,5,58,238736787
"67","How to Train Your Dragon",98,98,165000000,8.2,250,5,74,217581231
"68","Wreck-It Ralph",92,98,165000000,7.8,70,5,72,189412677
"69","Cowboys and Aliens",95,94,163000000,6.1,20,5,50,100240551
"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.7",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.9",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.11",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.12",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.14",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.16",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.18",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.19",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.20",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.21",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.22",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.23",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.24",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.25",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.26",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.27",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.28",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.29",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.30",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.31",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.32",NA,NA,NA,NA,NA,NA,NA,NA,NA
