"row_id","actual","predicted"
2,309420425,315296942.243158
6,200821936,217315317.246933
7,336530303,367137475.378291
8,303003568,344106292.585733
10,254710178,256712470.408301
11,241063875,250907991.550815
12,200120000,153779830.080117
16,291045518,312165329.339272
22,234362462,225586848.908024
25,218080025,183485767.54625
26,70107728,55851702.1886424
28,408992272,419720994.147055
31,304360277,319965677.82635
32,234770996,260422491.781003
33,191450875,123122021.699886
34,172062763,159181970.010939
35,166112167,162187134.361738
40,65187603,134327012.151908
44,137855863,137026914.722899
49,237282182,275770620.182558
50,291710957,342465683.513366
53,73864507,70173392.3465727
54,293004164,272944279.77844
60,88246220,109264150.424341
65,150358296,190699694.715103
67,217581231,234720344.551286
68,189412677,194622945.859281
69,100240551,131267106.952005
