"row_id","actual","predicted"
2,309420425,292411590.014982
6,200821936,217143490.885289
7,336530303,420373325.249793
8,303003568,331439128.777746
10,254710178,249166175.970152
11,241063875,253528291.199688
12,200120000,141930180.986247
16,291045518,311689404.049642
22,234362462,270741331.65231
25,218080025,230881943.989139
26,70107728,96820149.964004
28,408992272,423594262.245002
31,304360277,340185691.321568
32,234770996,213518864.672748
33,191450875,172225913.529271
34,172062763,178655206.687934
35,166112167,186411368.66797
40,65187603,32319743.6041263
44,137855863,102140915.703067
49,237282182,250052367.092025
50,291710957,241993914.562024
53,73864507,44936994.647709
54,293004164,317693585.414073
60,88246220,108260480.204315
65,150358296,133030033.783239
67,217581231,151868683.141652
68,189412677,166044083.733148
69,100240551,113049895.799359
